2026-06-22 14:45:29 WARNING sepa.intraday  intraday HUT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:30 WARNING sepa.intraday  intraday DVA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:30 WARNING sepa.intraday  intraday GLXY: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:31 WARNING sepa.intraday  intraday SAIA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:31 WARNING sepa.intraday  intraday WULF: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:31 WARNING sepa.intraday  intraday PL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:31 WARNING sepa.intraday  intraday APLD: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:32 WARNING sepa.intraday  intraday ARW: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:32 WARNING sepa.intraday  intraday HBM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:32 WARNING sepa.intraday  intraday AAON: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:33 WARNING sepa.intraday  intraday ARWR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:33 WARNING sepa.intraday  intraday GSAT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:33 WARNING sepa.intraday  intraday FORM: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:33 WARNING sepa.intraday  intraday RIOT: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:34 WARNING sepa.intraday  intraday AAL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:34 WARNING sepa.intraday  intraday FROG: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:34 WARNING sepa.intraday  intraday CYTK: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:35 WARNING sepa.intraday  intraday GGAL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:35 WARNING sepa.intraday  intraday LEVI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:35 WARNING sepa.intraday  intraday SIMO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:35 WARNING sepa.intraday  intraday CIFR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:36 WARNING sepa.intraday  intraday QBTS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:36 WARNING sepa.intraday  intraday OSCR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:36 WARNING sepa.intraday  intraday CORZ: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:37 WARNING sepa.intraday  intraday SSL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:37 WARNING sepa.intraday  intraday BRKR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:37 WARNING sepa.intraday  intraday ESE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:37 WARNING sepa.intraday  intraday CLF: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:38 WARNING sepa.intraday  intraday LSTR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:38 WARNING sepa.intraday  intraday ALKS: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:38 WARNING sepa.intraday  intraday HXL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:38 WARNING sepa.intraday  intraday MXL: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:39 WARNING sepa.intraday  intraday SEI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:39 WARNING sepa.intraday  intraday NPO: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:39 WARNING sepa.intraday  intraday RSI: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:40 WARNING sepa.intraday  intraday CAR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:40 WARNING sepa.intraday  intraday HPP: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:40 WARNING sepa.intraday  intraday SNDR: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:40 WARNING sepa.intraday  intraday APGE: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:41 WARNING sepa.intraday  intraday M: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:41 WARNING sepa.intraday  intraday LQDA: float() argument must be a string or a real number, not 'Series'
2026-06-22 14:45:41 WARNING sepa.intraday  intraday ACMR: float() argument must be a string or a real number, not 'Series'
